Id,Label,timeset
"Big Brothers, Big Sisters","Big Brothers, Big Sisters",
Wal-Mart,Wal-Mart,
Y-12,Y-12,
Wesley House,Wesley House,
Joy of Music,Joy of Music,
Legislative Affairs for the City of Knoxville,Legislative Affairs for the City of Knoxville,
Knox County Health Department,Knox County Health Department,
Policy Makers,Policy Makers,
Tennessee Department of Agriculture,Tennessee Department of Agriculture,
Two Chicks and a Farm,Two Chicks and a Farm,
Market Wagon,Market Wagon,
UTK Public Health Nutrition Program,UTK Public Health Nutrition Program,
Child and Adult Care Food Program,Child and Adult Care Food Program,
Telemon Corporation,Telemon Corporation,
Head Start Program,Head Start Program,
Nourish Knoxville,Nourish Knoxville,
UTK Medical Center,UTK Medical Center,
Knox County Schools,Knox County Schools,
Boys and Girls Club of Tennessee Valley,Boys and Girls Club of Tennessee Valley,
Local Businesses,Local Businesses,
Downtown Knoxville Business Alliance,Downtown Knoxville Business Alliance,
Business Sponsors,Business Sponsors,
Grayson Subaru,Grayson Subaru,
Nonprofits (Community Booth),Nonprofits (Community Booth),
SNAP,SNAP,
Beardsley Farm,Beardsley Farm,
Soil Conservation,Soil Conservation,
Farm Bureau,Farm Bureau,
Bank of America,Bank of America,
Knox Education Foundation,Knox Education Foundation,
UTK Extension,UTK Extension,
Farmers Markets,Farmers Markets,
"Little Chefs, Big Change","Little Chefs, Big Change",
Nourish Kids Program,Nourish Kids Program,
Senior Centers,Senior Centers,
Health Departments,Health Departments,
Schools,Schools,
Recreational Centers,Recreational Centers,
Housing Centers,Housing Centers,
City of Knoxville Office of Solid Waste,City of Knoxville Office of Solid Waste,
Ijams,Ijams,
Knoxville Botanical Garden and Aboretum,Knoxville Botanical Garden and Aboretum,
Museum of Infinite Outcomes,Museum of Infinite Outcomes,
O'Connor Senior Center,O'Connor Senior Center,
The Native Plant Rescue Squad,The Native Plant Rescue Squad,
Bridge Refugee Services,Bridge Refugee Services,
Knoxville Area Transit (KAT),Knoxville Area Transit (KAT),
Knoxville - Knox County CAC,Knoxville - Knox County CAC,
Community Assistant Teams,Community Assistant Teams,
Knoxville Farmers Market,Knoxville Farmers Market,
Community Garden and Cultural Orientation Coordinator - AmeriCorps member,Community Garden and Cultural Orientation Coordinator - AmeriCorps member,
Cherokee Health Systems,Cherokee Health Systems,
Second Harvest,Second Harvest,
BattleField Farm and Gardens,BattleField Farm and Gardens,
City of Knoxville,City of Knoxville,
Magpies Bakery,Magpies Bakery,
Coffeehouses in Knoxville,Coffeehouses in Knoxville,
Concord United Methodist,Concord United Methodist,
St. Francis,St. Francis,
Tabernacle Baptist,Tabernacle Baptist,
Tennessee Women in Agriculture,Tennessee Women in Agriculture,
SEEED,SEEED,
Five Points,Five Points,
Bethel AME Church,Bethel AME Church,
Pane Avenue Baptist Church,Pane Avenue Baptist Church,
Catholic Charities,Catholic Charities,
Churches,Churches,
Knights of Columbus,Knights of Columbus,
Society of St. Andrew,Society of St. Andrew,
Cokesbury United Methodist Church,Cokesbury United Methodist Church,
Westpark Baptist Church,Westpark Baptist Church,
Good Samaritan,Good Samaritan,
KARM,KARM,
Ladies of Charity,Ladies of Charity,
Teen Challenge,Teen Challenge,
Love Kitchen,Love Kitchen,
Volunteer Ministry Center,Volunteer Ministry Center,
Restoration House of East Tennessee,Restoration House of East Tennessee,
New Life United Methodist Church,New Life United Methodist Church,
Susannah's House,Susannah's House,
Thrive Lonsdale,Thrive Lonsdale,
Faith Lutheran,Faith Lutheran,
Concord Baptist Church,Concord Baptist Church,
Habitat for Humanity,Habitat for Humanity,
UTK Kitchen Garden,UTK Kitchen Garden,
Pellissippi State Community College,Pellissippi State Community College,
UTK College of Social Work,UTK College of Social Work,
East Tennessee State University,East Tennessee State University,
Lincoln Memorial University,Lincoln Memorial University,
King University,King University,
Three Rivers Market,Three Rivers Market,
Banks,Banks,
USDA,USDA,
North Carolina A&T,North Carolina A&T,
Knox County Foundation,Knox County Foundation,
Extension Agency for Knox County,Extension Agency for Knox County,
American Heart Association,American Heart Association,
Food Policy Council,Food Policy Council,
Real Good Kitchen,Real Good Kitchen,
United Way of Greater Knoxville,United Way of Greater Knoxville,
KEC,KEC,
East Knoxville Business and Professional Association,East Knoxville Business and Professional Association,
After School Programs,After School Programs,
YMCA,YMCA,
WIC,WIC,
Housing,Housing,
Knoxville-Knox County CAC,Knoxville-Knox County CAC,
Office on Aging,Office on Aging,
UTK Dept of Public Health,UTK Dept of Public Health,
UTK Food Insecurity Community of Scholars,UTK Food Insecurity Community of Scholars,
Interfaith Health Clinic,Interfaith Health Clinic,
Century Harvest Farms Foundation,Century Harvest Farms Foundation,
Mutual Aid Space Knoxville,Mutual Aid Space Knoxville,
East Tennessee Harm Reduction,East Tennessee Harm Reduction,
Loudon County Health Improvement Council,Loudon County Health Improvement Council,
Karen Holst (University Assisted Community Schools at Pond Gap),Karen Holst (University Assisted Community Schools at Pond Gap),
Lauren Woods (UTK Extension),Lauren Woods (UTK Extension),
Lori Labotka (linguistic anthropologist),Lori Labotka (linguistic anthropologist),
Kimberly Pettigrew (United Way of Greater Knoxville),Kimberly Pettigrew (United Way of Greater Knoxville),
Chad Hellwinckel (UTK Dept of Agricultural and Resource Economics),Chad Hellwinckel (UTK Dept of Agricultural and Resource Economics),
